City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Mackenzie,CA,2021-01-17 02:17:26,55.2999,-123.1698,30.2,100,90,6.91
233,Isangel,VU,2021-01-17 02:17:26,-19.55,169.2667,87.8,79,90,8.05
234,Maragogi,BR,2021-01-17 02:17:26,-9.0122,-35.2225,77.14,82,33,10.27
235,Sturgis,US,2021-01-17 02:17:26,41.7992,-85.4192,33.8,100,90,6.91
236,Denpasar,ID,2021-01-17 02:13:25,-8.65,115.2167,82.4,78,20,6.91
237,Bambanglipuro,ID,2021-01-17 02:17:26,-7.95,110.2833,83.98,66,98,4.94
238,Erzin,TR,2021-01-17 02:17:24,36.9559,36.2,62.01,96,100,10.65
239,Jacmel,HT,2021-01-17 02:16:13,18.2342,-72.5347,75.2,78,100,5.75
240,Nome,US,2021-01-17 02:17:26,64.5011,-165.4064,8.6,72,40,6.91
241,Sobolevo,RU,2021-01-17 02:17:26,54.4299,31.8996,-1.01,93,100,6.29
242,Fukue,JP,2021-01-17 02:17:26,32.6881,128.8419,39.2,65,75,18.41
243,Aklavik,CA,2021-01-17 02:17:27,68.2191,-135.0107,-9.4,77,61,6.91
244,Callaway,US,2021-01-17 02:17:27,30.153,-85.5699,44.6,61,1,3.44
245,South Lake Tahoe,US,2021-01-17 02:16:00,38.9332,-119.9844,48.0,75,1,3.44
246,Soe,ID,2021-01-17 02:17:27,-9.8607,124.284,78.94,78,80,0.34
247,Kahului,US,2021-01-17 02:13:23,20.8947,-156.47,84.2,48,1,9.22
248,Weligama,LK,2021-01-17 02:17:27,5.9667,80.4167,76.17,83,99,4.74
249,Aberdeen,GB,2021-01-17 02:14:03,57.1437,-2.0981,39.2,75,27,8.05
250,Tigzirt,DZ,2021-01-17 02:17:27,36.8886,4.1198,47.91,73,6,6.85
251,Palauig,PH,2021-01-17 02:17:27,15.435,119.9045,82.26,63,7,2.1
