City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Sinnamary,GF,80.62,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
473,Vao,NC,77.02,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
481,Soubre,CI,86.5,few clouds,5.7856,-6.6083,Lynd Hotels Soubre
483,Dhidhdhoo,MV,81.86,light rain,6.8833,73.1,Dhidhoo beach
486,Bentong,MY,80.6,few clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
493,Pitimbu,BR,87.8,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
494,Chake Chake,TZ,78.66,overcast clouds,-5.2459,39.7666,Hotel Archipelago
495,Cururupu,BR,88.29,scattered clouds,-1.8283,-44.8683,Pousada Través'cia
500,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
502,Ambon,ID,84.99,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
503,Ayorou,NE,81.45,overcast clouds,14.7308,0.9174,Hotel Amenokal
506,Kigoma,TZ,77.0,light rain,-4.8769,29.6267,Kigoma Hilltop Hotel
507,Tadine,NC,76.53,overcast clouds,-21.55,167.8833,
508,Porto Novo,BJ,86.0,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
511,Tutoia,BR,82.4,broken clouds,-2.7619,-42.2744,Pousada Guará's
515,Pontes E Lacerda,BR,82.0,moderate rain,-15.2261,-59.3353,Hotel Bressan
519,Dinguiraye,GN,85.37,broken clouds,11.3,-10.7167,
527,Coahuayana,MX,77.0,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
531,Tamale,GH,89.31,scattered clouds,9.4008,-0.8393,Tap Hotel
532,Pizarro,CO,80.89,light rain,4.9533,-77.366,Hotel Limonar
533,Barra Do Garcas,BR,77.0,moderate rain,-15.89,-52.2567,Hotel Pousada Tropical
538,Inhambane,MZ,80.6,scattered clouds,-23.865,35.3833,Oceano
540,Banjar,ID,78.8,moderate rain,-8.19,114.9675,The Hamsa Resort
542,Tecoanapa,MX,84.2,scattered clouds,16.5167,-98.75,Hotel Manglares
547,Ewo,CG,80.96,light rain,-0.8725,14.8206,Residence Elonda Ewo
551,Paramonga,PE,75.02,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
553,De Aar,ZA,81.5,clear sky,-30.6497,24.0123,Stoneburgh B&B
555,Mitsamiouli,KM,81.88,clear sky,-11.3847,43.2844,Foyer ADM
560,Abonnema,NG,89.6,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
565,Saint-Georges,GD,86.0,light rain,12.0564,-61.7485,Siesta Hotel
568,Tabou,CI,80.6,light rain,4.423,-7.3528,hotêl doufoulougou
569,Boyolangu,ID,75.9,light rain,-8.1181,111.8935,Yos ega cv
576,Farafangana,MG,80.78,broken clouds,-22.8167,47.8333,Miarina
580,Ambanja,MG,78.24,light rain,-13.6833,48.45,Hotel Salama and Fast Food
582,Miandrivazo,MG,82.09,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
592,Robertsport,LR,81.39,clear sky,6.7533,-11.3686,Kwepunha Retreat
598,Januaria,BR,85.21,overcast clouds,-15.4833,-44.3667,Hotel Paraguassu
599,Sabang,ID,82.04,moderate rain,5.8933,95.3214,Hotel Citra
600,Hienghene,NC,76.95,overcast clouds,-20.6833,164.9333,Ka Waboana Lodge
609,Varzelandia,BR,82.27,overcast clouds,-15.7014,-44.0275,Pousada Portal da Cidade
614,Pipri,IN,79.25,broken clouds,19.8,75.5333,Sukhana River nilu and rushi home
618,Samana,DO,84.2,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
619,Lae,PG,76.91,broken clouds,-6.7221,146.9847,Phils Hotel
620,Dapdap,PH,79.16,overcast clouds,12.062000000000001,125.4881,Oasis Lodge
621,Le Port,RE,78.8,clear sky,-20.9373,55.2919,Villa Maido
622,Treinta Y Tres,UY,79.32,broken clouds,-33.2333,-54.3833,Jardines Apart-Hotel
624,Namibe,AO,75.52,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
